"","view_freq","numb_improv","peabody","site"
"1",4,0.481481481481481,49,"site 1"
"2",1,0.0740740740740741,53,"site 1"
"3",4,0.296296296296296,65,"site 1"
"4",2,0.259259259259259,55,"site 1"
"5",2,0.240740740740741,85,"site 1"
"6",1,0.259259259259259,43,"site 1"
"7",3,0.518518518518518,65,"site 1"
"8",3,0.203703703703704,75,"site 1"
"9",3,-0.0185185185185185,85,"site 1"
"10",4,0.351851851851852,40,"site 1"
"11",4,0.148148148148148,58,"site 1"
"12",4,-0.037037037037037,42,"site 1"
"13",4,0.185185185185185,69,"site 1"
"14",3,0.259259259259259,58,"site 1"
"15",4,0.407407407407407,37,"site 1"
"16",4,0.037037037037037,62,"site 1"
"17",4,0.203703703703704,99,"site 1"
"18",3,0.444444444444444,75,"site 1"
"19",2,0.203703703703704,82,"site 1"
"20",4,0.037037037037037,47,"site 1"
"21",4,0.351851851851852,62,"site 1"
"22",3,0.12962962962963,67,"site 1"
"23",3,0.166666666666667,40,"site 1"
"24",2,0.296296296296296,41,"site 1"
"25",3,0.425925925925926,56,"site 1"
"26",4,-0.0185185185185185,73,"site 1"
"27",4,0.462962962962963,85,"site 1"
"28",2,0.0740740740740741,59,"site 1"
"29",3,-0.0555555555555556,58,"site 1"
"30",4,0.037037037037037,92,"site 1"
"31",2,0.259259259259259,69,"site 1"
"32",3,-0.0740740740740741,56,"site 1"
"33",4,0.185185185185185,78,"site 1"
"34",4,0.259259259259259,58,"site 1"
"35",4,0.351851851851852,78,"site 1"
"36",3,0.240740740740741,67,"site 1"
"37",4,0.166666666666667,69,"site 1"
"38",2,0.240740740740741,53,"site 1"
"39",3,0.314814814814815,55,"site 1"
"40",1,-0.0555555555555556,53,"site 1"
"41",2,0.425925925925926,67,"site 1"
"42",3,0.444444444444444,62,"site 1"
"43",4,0.314814814814815,59,"site 1"
"44",4,0.185185185185185,46,"site 1"
"45",3,0.333333333333333,58,"site 1"
"46",2,0.203703703703704,92,"site 1"
"47",4,0.351851851851852,48,"site 1"
"48",2,0.388888888888889,65,"site 1"
"49",4,0.444444444444444,67,"site 1"
"50",3,0.5,59,"site 1"
"51",4,0.240740740740741,39,"site 1"
"52",3,0.0185185185185185,47,"site 1"
"53",3,0.166666666666667,51,"site 1"
"54",4,0.185185185185185,43,"site 1"
"55",1,0.203703703703704,65,"site 1"
"56",2,0.111111111111111,39,"site 2"
"57",1,0.0740740740740741,33,"site 2"
"58",3,0.166666666666667,34,"site 2"
"59",1,-0.037037037037037,35,"site 2"
"60",3,0.148148148148148,32,"site 2"
"61",3,0.203703703703704,44,"site 2"
"62",4,0.259259259259259,31,"site 2"
"63",4,0.444444444444444,44,"site 2"
"64",1,0.0740740740740741,27,"site 2"
"65",1,-0.111111111111111,29,"site 2"
"66",2,0.12962962962963,47,"site 2"
"67",2,0.0185185185185185,35,"site 2"
"68",1,0.0555555555555556,32,"site 2"
"69",2,0.240740740740741,36,"site 2"
"70",4,0.0185185185185185,38,"site 2"
"71",4,0.203703703703704,42,"site 2"
"72",2,0,27,"site 2"
"73",2,0.185185185185185,60,"site 2"
"74",1,0.203703703703704,28,"site 2"
"75",3,0.333333333333333,33,"site 2"
"76",2,0.037037037037037,55,"site 2"
"77",4,0.388888888888889,29,"site 2"
"78",4,0.240740740740741,46,"site 2"
"79",3,0.0185185185185185,33,"site 2"
"80",3,0.0740740740740741,32,"site 2"
"81",3,0.0925925925925926,47,"site 2"
"82",3,0.277777777777778,90,"site 2"
"83",2,0.314814814814815,61,"site 2"
"84",2,0.425925925925926,36,"site 2"
"85",3,0.037037037037037,35,"site 2"
"86",3,0.314814814814815,48,"site 2"
"87",3,0.611111111111111,35,"site 2"
"88",4,0.5,35,"site 2"
"89",2,0.0185185185185185,35,"site 2"
"90",3,0.277777777777778,35,"site 2"
"91",4,0.148148148148148,45,"site 2"
"92",1,-0.0185185185185185,33,"site 2"
"93",3,0.12962962962963,42,"site 2"
"94",4,0.462962962962963,32,"site 2"
"95",1,-0.222222222222222,40,"site 2"
"96",4,0.222222222222222,42,"site 2"
"97",2,0.185185185185185,46,"site 2"
"98",2,0.037037037037037,39,"site 2"
"99",3,-0.0925925925925926,69,"site 2"
"100",4,0.351851851851852,36,"site 2"
"101",1,0.203703703703704,35,"site 2"
"102",3,0.185185185185185,34,"site 2"
"103",4,0.314814814814815,32,"site 2"
"104",4,0.185185185185185,38,"site 2"
"105",3,0.388888888888889,32,"site 2"
"106",3,0.333333333333333,34,"site 2"
"107",1,-0.148148148148148,35,"site 2"
"108",2,0.0555555555555556,34,"site 2"
"109",3,-0.0185185185185185,28,"site 2"
"110",1,0.259259259259259,29,"site 2"
"111",4,0.240740740740741,37,"site 2"
"112",4,0.203703703703704,32,"site 2"
"113",3,0.111111111111111,35,"site 2"
"114",3,0.12962962962963,35,"site 2"
"115",2,0.203703703703704,32,"site 2"
"116",2,0,47,"site 2"
"117",2,0.240740740740741,35,"site 2"
"118",1,0.148148148148148,35,"site 2"
"119",2,-0.0740740740740741,30,"site 2"
