"percentSignalChange","language"
"5.37095844714667","english"
"3.43530182860391","english"
"4.36312841133734","english"
"4.63286260496104","english"
"4.404268323141","english"
"3.89387548390852","english"
"5.51152199743894","english"
"3.9053409615869","english"
"6.01842371387704","english"
"3.93728590094758","english"
"5.30486965422349","english"
"6.28664539270111","english"
"2.61113929888766","english"
"3.72121123318263","english"
"3.86667866360634","english"
"4.63595039807007","english"
"3.71574707858393","french"
"1.34354457909522","french"
"1.55953307142448","french"
"5.32011334573019","french"
"3.69336140592153","french"
"2.21869156602","french"
"3.82808264424038","french"
"5.2146746991726","french"
"5.89519346126496","french"
"3.5695308683938","french"
"3.74273061723107","french"
"2.23683691480522","french"
"4.46009735483127","french"
"3.36000512403988","french"
"4.45545012324122","french"
"4.70483733722882","french"
"3.03510352196992","chinese"
"1.39107362459279","chinese"
"2.50495512329797","chinese"
"0.282991320926657","chinese"
"1.2155409916205","chinese"
"1.14909240582348","chinese"
"-0.414207649946632","chinese"
"2.03612260689226","chinese"
"2.20599860020025","chinese"
"1.63894270145133","chinese"
"2.75816323569952","chinese"
"1.27329517292342","chinese"
"0.631718955580705","chinese"
"2.43281802588872","chinese"
"1.18860682381333","chinese"
"3.44410126172125","chinese"
"5.06855379738665","arabic"
"6.15564788340221","arabic"
"5.82192526520395","arabic"
"4.71616105911962","arabic"
"7.07572751979198","arabic"
"6.14289930571732","arabic"
"5.58976064659961","arabic"
"5.77655074729146","arabic"
"6.17928881605527","arabic"
"5.58983288657908","arabic"
"2.50690991684707","arabic"
"5.78488295353066","arabic"
"5.13276535725903","arabic"
"5.68523056486561","arabic"
"6.08182372736551","arabic"
"6.89973682729268","arabic"
"-0.527292059474465","hebrew"
"1.50254263204414","hebrew"
"0.535848119752074","hebrew"
"1.23850609869762","hebrew"
"1.12072856829065","hebrew"
"0.920878162866863","hebrew"
"-0.843118938567855","hebrew"
"0.109813613389293","hebrew"
"0.823518161999544","hebrew"
"-0.753523357772344","hebrew"
"-0.342828814573857","hebrew"
"0.780996497681683","hebrew"
"0.968178737834591","hebrew"
"0.663767588540167","hebrew"
"-0.685776297409679","hebrew"
"-0.899780898647856","hebrew"
